Gmt time,Open,High,Low,Close,Volume
03.10.2024 01:00:00.000,2657.675,2658.775,2654.845,2658.105,1037019.9925000002
03.10.2024 02:00:00.000,2658.115,2658.535,2655.245,2655.665,1348930.0127000003
03.10.2024 03:00:00.000,2655.645,2657.878,2653.175,2655.878,2634580.010300001
03.10.2024 04:00:00.000,2655.908,2656.385,2654.465,2654.845,944989.9976
03.10.2024 05:00:00.000,2654.825,2656.535,2651.765,2653.198,2793700.0008000005
03.10.2024 06:00:00.000,2653.138,2657.315,2651.165,2655.714,1338410.0071000003
03.10.2024 07:00:00.000,2655.745,2656.055,2643.304,2645.145,2379780.0001000003
03.10.2024 08:00:00.000,2645.068,2647.315,2641.675,2644.985,1912409.9921000001
03.10.2024 09:00:00.000,2644.955,2647.465,2640.895,2644.685,2629309.9895
03.10.2024 10:00:00.000,2644.685,2647.998,2643.915,2646.675,1392159.9926000005
03.10.2024 11:00:00.000,2646.725,2648.935,2643.525,2647.935,1401069.9969999997
03.10.2024 12:00:00.000,2647.948,2653.815,2641.968,2642.235,2712180.0093
03.10.2024 13:00:00.000,2642.225,2651.235,2641.475,2646.925,3770609.9959999993
03.10.2024 14:00:00.000,2646.868,2654.348,2636.255,2650.068,5238009.970900001
03.10.2024 15:00:00.000,2650.045,2654.435,2647.835,2648.735,2708679.9827000005
03.10.2024 16:00:00.000,2648.805,2661.048,2648.455,2659.925,2505479.9939
03.10.2024 17:00:00.000,2659.985,2662.008,2655.025,2656.595,2076169.9975000005
03.10.2024 18:00:00.000,2656.645,2659.565,2655.265,2657.398,2052950.0051
03.10.2024 19:00:00.000,2657.398,2659.325,2656.828,2657.815,1541790.0008999999
03.10.2024 20:00:00.000,2657.815,2657.815,2655.645,2655.715,596120.0018000001
03.10.2024 21:00:00.000,2655.715,2655.715,2655.715,2655.715,0
03.10.2024 22:00:00.000,2654.878,2656.998,2654.245,2655.844,540429.9974
03.10.2024 23:00:00.000,2655.764,2656.468,2654.178,2655.615,412379.9983
04.10.2024 00:00:00.000,2655.655,2657.415,2655.315,2657.098,1478670.0013
04.10.2024 01:00:00.000,2657.108,2659.048,2656.645,2658.115,1657909.9875999999
04.10.2024 02:00:00.000,2658.124,2663.405,2657.898,2661.908,1061350.005
04.10.2024 03:00:00.000,2661.918,2663.474,2660.665,2660.985,881119.9981999999
04.10.2024 04:00:00.000,2660.965,2665.705,2660.525,2663.915,1128300.0018
04.10.2024 05:00:00.000,2663.914,2667.675,2663.914,2667.278,1421360.0056000003
04.10.2024 06:00:00.000,2667.295,2667.515,2659.598,2660.148,1492600.0126000002
04.10.2024 07:00:00.000,2660.045,2663.035,2658.605,2660.888,2210690.0043999995
04.10.2024 08:00:00.000,2660.865,2661.405,2658.715,2658.894,1056320.0041000003
04.10.2024 09:00:00.000,2658.894,2660.075,2656.755,2657.365,1503729.9871999999
04.10.2024 10:00:00.000,2657.335,2660.595,2657.085,2658.145,1446339.9950000003
04.10.2024 11:00:00.000,2658.065,2662.455,2657.265,2661.205,1707619.9958000001
04.10.2024 12:00:00.000,2661.185,2661.345,2632.068,2638.695,7027520.019600001
04.10.2024 13:00:00.000,2638.785,2655.014,2637.314,2651.778,5851810.004200002
04.10.2024 14:00:00.000,2651.778,2661.045,2646.378,2658.255,4794459.994700001
04.10.2024 15:00:00.000,2658.285,2670.065,2647.635,2653.045,6261910.021
04.10.2024 16:00:00.000,2653.045,2653.685,2641.755,2645.168,3064330.0078000003
04.10.2024 17:00:00.000,2645.185,2650.308,2643.785,2649.914,3077060.013400001
04.10.2024 18:00:00.000,2649.914,2650.605,2644.225,2645.518,2555210.0093000005
04.10.2024 19:00:00.000,2645.518,2651.985,2642.605,2651.458,2019459.9966000002
04.10.2024 20:00:00.000,2651.495,2653.835,2649.705,2653.545,1111040.0029999998
06.10.2024 22:00:00.000,2650.375,2652.615,2648.875,2650.594,1369219.9951000004
06.10.2024 23:00:00.000,2650.584,2652.248,2649.528,2650.055,723669.9972000001
07.10.2024 00:00:00.000,2650.125,2650.965,2647.675,2649.194,1069380.0047
07.10.2024 01:00:00.000,2649.255,2651.778,2643.708,2646.085,3091359.993499998
07.10.2024 02:00:00.000,2646.055,2648.495,2645.138,2645.158,1583539.9907999998
07.10.2024 03:00:00.000,2645.115,2647.308,2643.735,2647.255,1364289.9988999998
07.10.2024 04:00:00.000,2647.255,2648.485,2646.235,2646.605,701549.9978
07.10.2024 05:00:00.000,2646.548,2646.575,2639.855,2640.545,1474879.9968999997
07.10.2024 06:00:00.000,2640.635,2643.775,2639.605,2643.085,2331350.0007000007
07.10.2024 07:00:00.000,2643.045,2652.695,2641.925,2651.925,2353540.0019000005
07.10.2024 08:00:00.000,2651.975,2656.208,2651.515,2652.195,2436729.9947
07.10.2024 09:00:00.000,2652.215,2657.115,2650.565,2656.454,2955119.9936999995
07.10.2024 10:00:00.000,2656.444,2658.375,2655.085,2655.265,1112670.0067999996
07.10.2024 11:00:00.000,2655.245,2659.465,2654.975,2656.835,2956980.0046
07.10.2024 12:00:00.000,2656.868,2659.155,2637.688,2639.925,4553379.9949
07.10.2024 13:00:00.000,2639.905,2653.675,2639.585,2642.605,5249839.9936999995
07.10.2024 14:00:00.000,2642.625,2647.655,2640.275,2640.728,2863369.9998
07.10.2024 15:00:00.000,2640.705,2650.015,2638.995,2645.608,1745019.9995999995
07.10.2024 16:00:00.000,2645.608,2646.805,2642.505,2646.735,1413049.9975999994
07.10.2024 17:00:00.000,2646.585,2648.635,2644.045,2647.835,1189710.0022999996
07.10.2024 18:00:00.000,2647.835,2647.965,2639.505,2640.735,1988919.9869000004
07.10.2024 19:00:00.000,2640.735,2644.608,2640.345,2643.148,2375699.9966999996
07.10.2024 20:00:00.000,2643.058,2643.588,2641.668,2642.625,902349.9992999998
07.10.2024 21:00:00.000,2642.625,2642.625,2642.625,2642.625,0
07.10.2024 22:00:00.000,2641.965,2648.975,2641.595,2644.048,1002169.9971999999
07.10.2024 23:00:00.000,2644.085,2644.748,2642.295,2642.855,1222620.0044
08.10.2024 00:00:00.000,2642.895,2644.965,2642.185,2643.475,1680249.9944
08.10.2024 01:00:00.000,2643.395,2647.785,2637.758,2647.115,3527190.0044000004
08.10.2024 02:00:00.000,2647.115,2648.095,2633.665,2635.555,5236369.9806
08.10.2024 03:00:00.000,2635.464,2645.615,2635.105,2642.805,2309689.9937
08.10.2024 04:00:00.000,2642.805,2643.605,2641.205,2642.945,760449.9983000001
08.10.2024 05:00:00.000,2642.925,2646.215,2641.435,2644.885,1504169.998
08.10.2024 06:00:00.000,2644.885,2646.335,2635.585,2636.255,3355830.024499998
08.10.2024 07:00:00.000,2636.235,2638.345,2631.025,2633.815,2063550.0045000003
08.10.2024 08:00:00.000,2633.845,2640.185,2628.425,2637.765,3690660.0016999994
08.10.2024 09:00:00.000,2637.805,2641.875,2635.618,2641.355,2100070.0089000002
08.10.2024 10:00:00.000,2641.355,2647.345,2639.685,2646.185,1786070.0133
08.10.2024 11:00:00.000,2646.185,2651.835,2646.135,2650.615,1981750.0076
08.10.2024 12:00:00.000,2650.695,2652.885,2639.505,2645.735,4420959.997
08.10.2024 13:00:00.000,2645.725,2647.475,2636.545,2639.555,7842180.013400004
08.10.2024 14:00:00.000,2639.555,2640.285,2619.708,2620.828,10167835.042200001
