Local time,Open,High,Low,Close,Volume
03.09.2024 06:00:00.000 GMT+0300,2495.085,2495.555,2494.025,2495.218,549459.9956999999
03.09.2024 06:15:00.000 GMT+0300,2495.208,2495.765,2494.375,2495.695,497280.0015000001
03.09.2024 06:30:00.000 GMT+0300,2495.695,2495.695,2492.975,2493.255,301879.99779999995
03.09.2024 06:45:00.000 GMT+0300,2493.255,2495.155,2493.205,2494.665,176130.00040000002
03.09.2024 07:00:00.000 GMT+0300,2494.655,2495.025,2493.815,2494.705,194130.0016
03.09.2024 07:15:00.000 GMT+0300,2494.734,2496.685,2494.658,2496.235,297420.001
03.09.2024 07:30:00.000 GMT+0300,2496.235,2496.848,2495.195,2495.328,475680.00120000006
03.09.2024 07:45:00.000 GMT+0300,2495.365,2496.408,2495.365,2495.798,476699.995
03.09.2024 08:00:00.000 GMT+0300,2495.785,2495.818,2493.965,2493.965,388949.9978
03.09.2024 08:15:00.000 GMT+0300,2493.965,2495.665,2493.645,2494.435,278049.9998
03.09.2024 08:30:00.000 GMT+0300,2494.465,2495.675,2493.548,2494.475,379179.99730000005
03.09.2024 08:45:00.000 GMT+0300,2494.475,2495.608,2492.635,2494.885,516930.00260000007
03.09.2024 09:00:00.000 GMT+0300,2494.905,2495.365,2492.675,2494.785,671109.9828
03.09.2024 09:15:00.000 GMT+0300,2494.855,2497.128,2494.765,2495.885,683620.004
03.09.2024 09:30:00.000 GMT+0300,2495.905,2497.075,2494.595,2496.965,554829.998
03.09.2024 09:45:00.000 GMT+0300,2496.965,2498.718,2495.874,2497.735,663419.9990999999
03.09.2024 10:00:00.000 GMT+0300,2497.705,2499.095,2496.475,2497.495,356589.99990000005
03.09.2024 10:15:00.000 GMT+0300,2497.495,2500.918,2497.365,2500.278,467639.99780000007
03.09.2024 10:30:00.000 GMT+0300,2500.275,2501.938,2499.235,2499.958,614549.9907999999
03.09.2024 10:45:00.000 GMT+0300,2499.975,2501.398,2499.415,2500.725,894739.9855
03.09.2024 11:00:00.000 GMT+0300,2500.725,2503.235,2500.455,2502.715,600160.0027000001
03.09.2024 11:15:00.000 GMT+0300,2502.665,2504.595,2502.395,2504.555,319240.00369999994
03.09.2024 11:30:00.000 GMT+0300,2504.495,2506.165,2504.335,2504.925,365079.9951000001
03.09.2024 11:45:00.000 GMT+0300,2504.925,2505.988,2503.815,2503.835,319819.9979
03.09.2024 12:00:00.000 GMT+0300,2503.865,2504.865,2503.035,2504.335,367049.99959999986
03.09.2024 12:15:00.000 GMT+0300,2504.308,2504.308,2502.005,2503.388,426940.0034
03.09.2024 12:30:00.000 GMT+0300,2503.338,2504.435,2502.615,2502.875,547340.0038
